period,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo,site_name,site_id,anthelmintics
Phase 1,8.483298633,47.357697,Point,Sool,Laas Caanood,Fixed,6/7/1948,UNICEF,MOH SL,Dhakhtarka Wan,tpm001,2
Phase 1,10.65359452,49.7565345,Point,Bari,Bossaso,Fixed,36653,UNICEF,SRCS,Ufayn,tpm002,15
Phase 1,4.163074796,42.0768751,Point,Gedo,Doolow,Mobile Headquarters,41777,UNICEF,TROCAIRE,Doolow Town,tpm003,30
Phase 1,8.485762518,47.37410374,Point,Sool,Laas Caanood,Fixed,10/18/2004,UNICEF,MOH SL,Golkhatumo,tpm004,30
Phase 1,3.136988601,43.65423948,Point,Bay,Baidoa,Fixed,9/9/2005,UNICEF,WVI,Mursal,tpm006,4
Phase 1,8.467625117,47.35288186,Point,Sool,Laas Caanood,Fixed,6/4/2008,UNICEF,MOH SL,Faraxaskule,tpm007,0
Phase 1,4.02868221,42.29726156,Point,Gedo,Doolow,Fixed,2/1/2014,UNICEF,TROCAIRE,Gedoweyne,tpm008,15
Phase 1,10.28197207,50.23000389,Point,Bari,Iskushuban,Fixed,34038,UNICEF,SRCS,Iskushuban,tpm009,30
Phase 1,8.481575285,47.35616647,Point,Sool,Laas Caanood,Mobile Headquarters,40953,UNICEF,Mercy USA,Laas Caanood,tpm010,18
Phase 1,3.121839948,43.67608851,Point,Bay,Baidoa,Fixed,6/11/2015,UNICEF,WVI,Towfiiq,tpm011,2
Phase 1,3.923691467,41.87622585,Point,Gedo,Belet Xaawo,Fixed,33879,UNICEF,TROCAIRE,Section 4 Belet Hawa,tpm012,0
Phase 1,8.479091464,47.35675093,Point,Sool,Laas Caanood,Fixed,8/12/1974,UNICEF,MOH SL,Jaamalaye,tpm013,15
Phase 1,3.800314433,42.54442994,Point,Gedo,Luuq,Fixed,40806,UNICEF,TROCAIRE,Waaberi,tpm014,17
Phase 1,3.116416324,43.64968614,Point,Bay,Baidoa,Fixed,42898,UNICEF,WVI,Horseed,tpm015,15
Phase 1,3.929975809,41.87564778,Point,Gedo,Belet Xaawo,Mobile Headquarters,34135,UNICEF,TROCAIRE,Section Five Belet Hawa,tpm016,0
Phase 1,3.122472381,43.65739605,Point,Bay,Baidoa,MCH Mother and Child Health Clinic,42537,UNICEF,SCI,Berdale,tpm017,1
Phase 1,10.41814882,51.2729927,Point,Bari,Iskushuban,Fixed,6/13/2017,UNICEF,HADO,Xaafuun,tpm018,0
Phase 1,8.474026503,47.36668965,Point,Sool,Laas Caanood,Fixed,8/8/2005,UNICEF,MOH SL,Sayid Maxamed,tpm019,15
Phase 1,8.481483033,47.35611744,Point,Sool,Laas Caanood,Fixed,8/24/2005,UNICEF,MOH SL,Shacabka,tpm020,8
Phase 1,3.126617532,43.66444251,Point,Bay,Baidoa,Mobile Headquarters,4/15/2012,UNICEF,GREDO,Baidoa Town Horseed Village,tpm021,1
Phase 1,11.28920948,51.07495259,Point,Bari,Iskushuban,Fixed,1/7/2007,UNICEF,HADO,Baargaal,tpm022,0
Phase 1,3.108055117,43.65237338,Point,Bay,Baidoa,Fixed,6/17/2017,UNICEF,WVI,Isha,tpm023,0
Phase 1,9.157713439,47.47831493,Point,Sool,Xudun,Fixed,3/4/1992,UNICEF,SRCS,Xudun,tpm024,30
Phase 1,3.102546048,43.63740159,Point,Bay,Baidoa,Mobile Headquarters,41369,UNICEF,WVI,Baidoa Town,tpm025,3
Phase 1,3.112606751,43.6670423,Point,Bay,Baidoa,Fixed,5/19/2015,UNICEF,WVI,Darusalam,tpm026,0
Phase 1,3.780029944,42.56071324,Point,Gedo,Luuq,Mobile Headquarters,1/29/2017,UNICEF,EDRO,Luuq District,tpm027,0
Phase 1,8.24116243,47.22573675,Point,Sool,Laas Caanood,Fixed,8/5/1999,UNICEF,WORLD CONCERN,Kalabaydh,tpm028,16
Phase 1,3.91706936,42.53760026,Point,Gedo,Luuq,Fixed,6/15/2013,UNICEF,EDRO,Miradhubow,tpm029,0
Phase 1,8.752740767,46.96466179,Point,Sool,Laas Caanood,Fixed,10/3/2000,UNICEF,SRCS,Yagori ,tpm030,30
Phase 1,11.87046604,51.05698403,Point,Bari,Caluula,Fixed,9/17/2013,UNICEF,HADO,Bareeda,tpm031,0
