site_name,site_id,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo
Dhakhtarka Wan,tpm001,8.483298633,47.357697,Point,Sool,Laas Caanood,Fixed,6/7/1948,UNICEF,MOH SL
Ufayn,tpm002,10.65359452,49.7565345,Point,Bari,Bossaso,Fixed,5/7/2000,UNICEF,SRCS
Doolow Town,tpm003,4.163398473,42.0771801,Point,Gedo,Doolow,Fixed,6/8/2017,UNICEF,TROCAIRE
Golkhatumo,tpm004,8.485762518,47.37410374,Point,Sool,Laas Caanood,Fixed,10/18/2004,UNICEF,MOH SL
Section 3 Belet Hawa,tpm005,3.930078775,41.87560661,Point,Gedo,Belet Xaawo,Fixed,10/12/1992,UNICEF,TROCAIRE
Mursal,tpm006,3.136988601,43.65423948,Point,Bay,Baidoa,Fixed,9/9/2005,UNICEF,WVI
Faraxaskule,tpm007,8.467625117,47.35288186,Point,Sool,Laas Caanood,Fixed,6/4/2008,UNICEF,MOH SL
Gedoweyne,tpm008,4.02868221,42.29726156,Point,Gedo,Doolow,Fixed,2/1/2014,UNICEF,TROCAIRE
Iskushuban,tpm009,10.28197207,50.23000389,Point,Bari,Iskushuban,Fixed,3/10/1993,UNICEF,SRCS
Laas Caanood,tpm010,8.481575285,47.35616647,Point,Sool,Laas Caanood,Mobile Headquarters,2/14/2012,UNICEF,Mercy USA
Towfiiq,tpm011,3.121839948,43.67608851,Point,Bay,Baidoa,Fixed,6/11/2015,UNICEF,WVI
Section 4 Belet Hawa,tpm012,3.923691467,41.87622585,Point,Gedo,Belet Xaawo,Fixed,10/2/1992,UNICEF,TROCAIRE
Jaamalaye,tpm013,8.479091464,47.35675093,Point,Sool,Laas Caanood,Fixed,8/12/1974,UNICEF,MOH SL
Waberi,tpm014,3.935091559,41.87908963,Point,Gedo,Belet Xaawo,Fixed,11/1/2016,UNICEF,HIRDA
Horseed,tpm015,3.116416324,43.64968614,Point,Bay,Baidoa,Fixed,6/12/2017,UNICEF,WVI
Section Five Belet Hawa,tpm016,3.929975809,41.87564778,Point,Gedo,Belet Xaawo,Mobile Headquarters,6/15/1993,UNICEF,TROCAIRE
Berdale,tpm017,3.128909808,43.65348988,Point,Bay,Baidoa,Fixed,6/16/2016,UNICEF,SCI
Xaafuun,tpm018,10.41814882,51.2729927,Point,Bari,Iskushuban,Fixed,6/13/2017,UNICEF,HADO
Sayid Maxamed,tpm019,8.474026503,47.36668965,Point,Sool,Laas Caanood,Fixed,8/8/2005,UNICEF,MOH SL
Shacabka,tpm020,8.481483033,47.35611744,Point,Sool,Laas Caanood,Fixed,8/24/2005,UNICEF,MOH SL
Baidoa Town Horseed Village,tpm021,3.126617532,43.66444251,Point,Bay,Baidoa,Mobile Headquarters,4/15/2012,UNICEF,GREDO
Baargaal,tpm022,11.28920948,51.07495259,Point,Bari,Iskushuban,Fixed,1/7/2007,UNICEF,HADO
Isha,tpm023,3.108055117,43.65237338,Point,Bay,Baidoa,Fixed,6/17/2017,UNICEF,WVI
Xudun,tpm024,9.157713439,47.47831493,Point,Sool,Xudun,Fixed,3/4/1992,UNICEF,SRCS
Baidoa Town,tpm025,3.102546048,43.63740159,Point,Bay,Baidoa,Mobile Headquarters,4/5/2013,UNICEF,WVI
Darusalam,tpm026,3.112606751,43.6670423,Point,Bay,Baidoa,Fixed,5/19/2015,UNICEF,WVI
Luuq District,tpm027,3.780029944,42.56071324,Point,Gedo,Luuq,Mobile Headquarters,1/29/2017,UNICEF,EDRO
Kalabaydh,tpm028,8.24116243,47.22573675,Point,Sool,Laas Caanood,Fixed,8/5/1999,UNICEF,WORLD CONCERN
Akara,tpm029,3.800314433,42.54442994,Point,Gedo,Luuq,Fixed,9/20/2011,UNICEF,TROCAIRE
Yagori,tpm030,8.752740767,46.96466179,Point,Sool,Laas Caanood,Fixed,10/3/2000,UNICEF,SRCS
Bareeda,tpm031,11.87046604,51.05698403,Point,Bari,Caluula,Fixed,9/17/2013,UNICEF,HADO
Caluula Town,tpm032,11.96315891,50.75338805,Point,Bari,Caluula,Fixed,10/18/2015,UNICEF,HADO
Xaabo,tpm033,11.79029945,50.52400476,Point,Bari,Caluula,Fixed,6/19/2002,UNICEF,HADO
Oog,tpm034,8.938538417,46.62087944,Point,Sool,Laas Caanood,Fixed,5/5/2001,UNICEF,SRCS
Luuq Town,tpm035,3.798562721,42.54626865,Point,Gedo,Luuq,Mobile Headquarters,4/23/2016,UNICEF,USWRO
Dolow Rhc,tpm036,4.1632149,42.0769776,Point,Gedo,Dolow,Fixed,2/8/2017,SNS+,Trocaire
Calanley Bsfp Fdp,tpm037,6.744783287,47.44655537,Point,Mudug,Gaalkacyo,Fixed,2/8/2017,UNICEF,SDRO
Health Centre,tpm038,3.930162009,41.87561204,Point,Gedo,Bulla Hawa,Fixed,2/8/2017,SNS+,Trocaire
Howl Wadaag Mch,tpm039,4.7347171,45.2086912,Point,Hiraan,Belet Weyne,Fixed,2/8/2017,UNICEF,WARDI
Stabilization Center,tpm040,4.1633401,42.0771714,Point,Gedo,Dolow,Fixed,3/8/2017,SNS+,Trocaire
Idhanka Mch,tpm041,9.69415998,43.30106082,Point,Awdal,Borama,Fixed,3/8/2017,UNICEF,SCI
"Horseed Tsfp, Howl-Wadaag",tpm042,6.759027742,47.43233543,Point,Mudug,Gaalkacyo,Fixed,3/8/2017,UNICEF,SDRO
Xarfo,tpm043,7.35413312,47.61837079,Point,Mudug,Gaalkacyo,Fixed,3/8/2017,UNICEF,SRCS
Khalil Hospital Sc,tpm044,3.923655739,41.87632397,Point,Gedo,Bulla Hawa ,Fixed,4/8/2017,SNS+,Trocaire
Hoodley,tpm045,4.7431476,45.2076973,Point,Hiraan,Belet Weyne,Mobile headquarters,3/8/2017,UNICEF,SCI
Gar Adag Mch,tpm046,9.484978642,46.87100079,Point,Sanaag,Ceel Afweyn,Fixed,3/8/2017,UNICEF,HEAL 
Srcs Waciye,tpm047,10.01062314,49.04428817,Point,Sanaag,Lasqoray,Fixed,3/8/2017,UNICEF,SRCS
"Bulo Bisharo Bsfp, Howlwadaag, Galkayo",tpm048,6.756131999,47.44337751,Point,Mudug,Gaalkacyo,Fixed,5/8/2017,UNICEF,SDRO
