period,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo,site_name,site_id,f3_daily_visits_op_children
Phase 1,8.483298633,47.357697,Point,Sool,Laas Caanood,Fixed,6/7/1948,UNICEF,MOH SL,Dhakhtarka Wan,tpm001,2
Phase 1,10.65359452,49.7565345,Point,Bari,Bossaso,Fixed,5/7/2000,UNICEF,SRCS,Ufayn,tpm002,1
Phase 1,4.16327159,42.08334728,Point,Gedo,Doolow,Mobile Headquarters,42738,UNICEF,WVI,Doolow Town,tpm003,2
Phase 1,8.485762518,47.37410374,Point,Sool,Laas Caanood,Fixed,10/18/2004,UNICEF,MOH SL,Golkhatumo,tpm004,2
Phase 1,3.930078775,41.87560661,Point,Gedo,Belet Xaawo,Fixed,10/12/1992,UNICEF,TROCAIRE,Section 3 Belet Hawa,tpm005,1
Phase 1,3.136988601,43.65423948,Point,Bay,Baidoa,Fixed,9/9/2005,UNICEF,WVI,Mursal,tpm006,2
Phase 1,8.467625117,47.35288186,Point,Sool,Laas Caanood,Fixed,6/4/2008,UNICEF,MOH SL,Faraxaskule,tpm007,1
Phase 1,4.02868221,42.29726156,Point,Gedo,Doolow,Fixed,2/1/2014,UNICEF,TROCAIRE,Gedoweyne,tpm008,1
Phase 1,9.97793422,50.24957698,Point,Bari,Iskushuban,Fixed,40705,UNICEF,HADO,Iskushuban,tpm009,2
Phase 1,8.482417835,47.36076359,Point,Sool,Laas Caanood,Mobile Headquarters,40218,UNICEF,SRCS,Laas Caanood,tpm010,1
Phase 1,3.121839948,43.67608851,Point,Bay,Baidoa,Fixed,6/11/2015,UNICEF,WVI,Towfiiq,tpm011,2
Phase 1,3.920317647,41.87422304,Point,Gedo,Belet Xaawo,Fixed,38768,UNICEF,WVI,Section 4 Belet Hawa,tpm012,2
Phase 1,8.479091464,47.35675093,Point,Sool,Laas Caanood,Fixed,8/12/1974,UNICEF,MOH SL,Jaamalaye,tpm013,1
