period,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo,site_name,site_id,rutf
Phase 1,8.483298633,47.357697,Point,Sool,Laas Caanood,Fixed,6/7/1948,UNICEF,MOH SL,Dhakhtarka Wan,tpm001,1
Phase 1,10.65359452,49.7565345,Point,Bari,Bossaso,Fixed,5/7/2000,UNICEF,SRCS,Ufayn,tpm002,1
Phase 1,4.163353599,42.08318622,Point,Gedo,Doolow,Fixed,41339,UNICEF,CEDA,Doolow Town,tpm003,67
Phase 1,4.02868221,42.29726156,Point,Gedo,Doolow,Fixed,2/1/2014,UNICEF,TROCAIRE,Gedoweyne,tpm008,7
Phase 1,10.28197207,50.23000389,Point,Bari,Iskushuban,Fixed,3/10/1993,UNICEF,SRCS,Iskushuban,tpm009,1
Phase 1,8.482417835,47.36076359,Point,Sool,Laas Caanood,Mobile Headquarters,40218,UNICEF,SRCS,Laas Caanood,tpm010,45
Phase 1,8.479091464,47.35675093,Point,Sool,Laas Caanood,Fixed,8/12/1974,UNICEF,MOH SL,Jaamalaye,tpm013,30
Phase 1,3.800314433,42.54442994,Point,Gedo,Luuq,Fixed,40806,UNICEF,TROCAIRE,Waaberi,tpm014,14
Phase 1,3.128909808,43.65348988,Point,Bay,Baidoa,MCH Mother and Child Health Clinic,42537,UNICEF,SCI,Horseed,tpm015,44
Phase 1,3.126388482,43.66655232,Point,Bay,Baidoa,Fixed,40806,UNICEF,SOS CVI,Berdale,tpm017,3
Phase 1,8.474026503,47.36668965,Point,Sool,Laas Caanood,Fixed,8/8/2005,UNICEF,MOH SL,Sayid Maxamed,tpm019,30
Phase 1,3.126617532,43.66444251,Point,Bay,Baidoa,Mobile Headquarters,4/15/2012,UNICEF,GREDO,Baidoa Town Horseed Village,tpm021,1
Phase 1,11.28920948,51.07495259,Point,Bari,Iskushuban,Fixed,1/7/2007,UNICEF,HADO,Baargaal,tpm022,1
Phase 1,9.157713439,47.47831493,Point,Sool,Xudun,Fixed,3/4/1992,UNICEF,SRCS,Xudun,tpm024,30
Phase 1,3.121217077,43.65787482,Point,Bay,Baidoa,Mobile Headquarters,42693,UNICEF,WVI,Baidoa Town,tpm025,4
Phase 1,3.112606751,43.6670423,Point,Bay,Baidoa,Fixed,5/19/2015,UNICEF,WVI,Darusalam,tpm026,1
Phase 1,8.24116243,47.22573675,Point,Sool,Laas Caanood,Fixed,8/5/1999,UNICEF,WORLD CONCERN,Kalabaydh,tpm028,30
Phase 1,3.91706936,42.53760026,Point,Gedo,Luuq,Fixed,6/15/2013,UNICEF,EDRO,Miradhubow,tpm029,30
Phase 1,11.96315891,50.75338805,Point,Bari,Caluula,Fixed,10/18/2015,UNICEF,HADO,Caluula Town,tpm032,1
Phase 1,11.79029945,50.52400476,Point,Bari,Caluula,Fixed,6/19/2002,UNICEF,HADO,Xaabo ,tpm033,2
Phase 1,8.938538417,46.62087944,Point,Sool,Laas Caanood,Fixed,5/5/2001,UNICEF,SRCS,Oog,tpm034,30
Phase 1,3.803069028,42.55075364,Point,Gedo,Luuq,Fixed,41640,UNICEF,SRDA,Luuq Town,tpm035,75
Phase 1,3.128808739,43.64212004,Point,Bay,Baidoa,Fixed,8/10/2015,UNICEF,WVI,Howlwadag,tpm039,2
Phase 2,4.1632149,42.0769776,Point,Gedo,Dolow,Fixed,2/8/2017,SNS+,Trocaire,Dolow Rhc,tpm036,0
Phase 2,3.930162009,41.87561204,Point,Gedo,Bulla Hawa,Fixed,2/8/2017,SNS+,Trocaire,Health Centre,tpm038,0
Phase 2,4.7347171,45.2086912,Point,Hiraan,Belet Weyne,Fixed,2/8/2017,UNICEF,WARDI,Howl Wadaag Mch,tpm039,0
Phase 2,4.1633401,42.0771714,Point,Gedo,Dolow,Fixed,3/8/2017,SNS+,Trocaire,Stabilization Center,tpm040,0
Phase 2,7.35413312,47.61837079,Point,Mudug,Gaalkacyo,Fixed,3/8/2017,UNICEF,SRCS,Xarfo,tpm043,0
Phase 2,3.923655739,41.87632397,Point,Gedo,Bulla Hawa ,Fixed,4/8/2017,SNS+,Trocaire,Khalil Hospital Sc,tpm044,0
Phase 2,4.7431476,45.2076973,Point,Hiraan,Belet Weyne,Mobile headquarters,3/8/2017,UNICEF,SCI,Hoodley,tpm045,0
Phase 2,9.484978642,46.87100079,Point,Sanaag,Ceel Afweyn,Fixed,3/8/2017,UNICEF,HEAL ,Gar Adag Mch,tpm046,31
Phase 2,10.01062314,49.04428817,Point,Sanaag,Lasqoray,Fixed,3/8/2017,UNICEF,SRCS,Srcs Waciye,tpm047,0
Phase 2,6.756131999,47.44337751,Point,Mudug,Gaalkacyo,Fixed,5/8/2017,UNICEF,SDRO,"Bulo Bisharo Bsfp, Howlwadaag, Galkayo",tpm048,6
Phase 2,3.956328496,41.89405177,Point,Gedo,Bulla Hawa ,Fixed,5/8/2017,SNS+,Trocaire,Primary Healthy Unit,tpm049,6
Phase 2,4.094517287,42.02683115,Point,Gedo,Dolow,Mobile headquarters,5/8/2017,SNS+,Trocaire,Surgudud Phu,tpm050,0
Phase 2,9.973754224,46.69859375,Point,Sanaag,Ceel Afweyn,Fixed,5/8/2017,UNICEF,HEAL ,Huluul,tpm051,28
Phase 2,4.735189131,45.20699398,Point,Hiraan,Belet Weyne,Fixed,5/8/2017,UNICEF,WARDI,Hospital,tpm052,0
Phase 2,10.37320808,47.19485551,Point,Sanaag,Ceerigaabo,Fixed,6/8/2017,UNICEF,SRCS,Yufle Mch,tpm053,0
Phase 2,4.111421658,42.26782319,Point,Gedo,Dolow,Mobile headquarters,6/8/2017,SNS+,Trocaire,Sadhumay Phu,tpm054,0
Phase 2,5.236419209,45.68346621,Point,Hiraan,Belet Weyne,Mobile headquarters,6/8/2017,UNICEF,SCI,Sci Office In Mataban,tpm056,0
Phase 2,7.05741351,47.49030434,Point,Mudug,Gaalkacyo,Fixed,6/8/2017,UNICEF,MOH,Cagaaran,tpm057,31
Phase 2,10.43847508,45.01350915,Point,Sahil,Berbera,Fixed,6/8/2017,UNICEF,HPA,Berbera Stabilization Center,tpm058,0
Phase 2,9.77687156,43.35056034,Point,Awdal,Baki,Fixed,5/8/2017,UNICEF,SRCS,Dilla MCH,tpm059,0
Phase 2,9.77703446,43.35070927,Point,Awdal,Baki,Mobile headquarters,6/8/2017,UNICEF,SRCS,Dila Mhc Mobile Team,tpm060,0
Phase 2,6.761330942,47.44286141,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SDRO,"Horumar Mch, Galkayo",tpm061,0
Phase 2,4.028398111,42.29716966,Point,Gedo,Luuq,Fixed,7/8/2017,SNS+,Trocaire,Gedweine Health Center,tpm062,0
Phase 2,3.835923288,41.89452593,Point,Gedo,Bulla Hawa ,Mobile headquarters,7/8/2017,SNS+,Trocaire,Sharmadaq,tpm063,6
Phase 2,5.199422421,45.52604034,Point,Hiraan,Belet Weyne,Fixed,7/8/2017,UNICEF,HIRDO,Mataban Mch,tpm064,0
Phase 2,10.62615665,47.36550806,Point,Sanaag,Ceerigaabo,Fixed,7/8/2017,UNICEF,MOH SL,Cerigabo Sc,tpm065,31
Phase 2,7.19253327,47.52196685,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SRCS,Ba'Aadweyn,tpm066,0
Phase 2,9.935802182,43.18164862,Point,Awdal,Borama,Fixed,8/8/2017,UNICEF,SCI,Borama Central Health Center,tpm069,0
Phase 2,4.071371038,42.35476959,Point,Gedo,Dolow,Mobile headquarters,8/8/2017,SNS+,Trocaire,Koreey Phu,tpm072,0
