"district_id","period","total_beneficiaries"
"R1720145","April",6622
"R1720146","April",9796
"R1720156","April",2930
"R1720157","April",4960
"R1720147","April",1950
"R1720148","April",5562
"R1720149","April",1952
"R1720153","April",5176
"R1720154","April",4400
"R1720155","April",4400
"R1720158","April",3662
"R1720100","April",5000
"R1720079","April",9500
"R1720107","April",17502
"R1720111","April",8000
"R1720075","April",1618
"R1720082","April",6000
"R1720122","April",3552
"R1720142","April",3128
"R1720095","April",5587
"R1720099","April",7287
"R1720094","April",1272
"R1720120","April",8563
"R1720140","April",2608
"R1720086","April",4905
"R1720088","April",9493
"R1720126","April",500
"R1720134","April",800
"R1720081","April",1730
"R1720105","April",3448
"R1720110","April",8919
"R1720077","April",1620
"R1720083","April",10882
"R1720093","April",2056
"R1720112","April",2349
"R1720127","April",810
"R1720129","April",3135
"R1720106","April",2502
"R1720115","April",3375
"R1720087","April",1638
"R1720104","April",1710
"R1720109","April",2058
"R1720135","April",2520
"R1720145","May",6622
"R1720146","May",9796
"R1720156","May",2930
"R1720157","May",4960
"R1720147","May",1950
"R1720148","May",5562
"R1720149","May",1952
"R1720153","May",5176
"R1720154","May",4400
"R1720155","May",4400
"R1720158","May",3662
"R1720100","May",5000
"R1720079","May",9500
"R1720107","May",19072
"R1720111","May",8000
"R1720075","May",1618
"R1720082","May",6000
"R1720122","May",3052
"R1720142","May",3128
"R1720095","May",5587
"R1720099","May",7287
"R1720094","May",1272
"R1720120","May",8563
"R1720140","May",2608
"R1720086","May",4905
"R1720088","May",9493
"R1720126","May",500
"R1720134","May",800
"R1720081","May",1730
"R1720105","May",3448
"R1720110","May",8919
"R1720077","May",1620
"R1720083","May",11028
"R1720093","May",2056
"R1720112","May",2459
"R1720127","May",810
"R1720129","May",3665
"R1720106","May",3302
"R1720115","May",4045
"R1720087","May",2038
"R1720104","May",2978
"R1720109","May",2886
"R1720135","May",2520
