"district_id","period","total_beneficiaries"
"R1720144","April",291
"R1720143","April",404
"R1720145","April",3837
"R1720146","April",1665
"R1720156","April",162
"R1720157","April",347
"R1720147","April",246
"R1720148","April",526
"R1720149","April",1954
"R1720150","April",1233
"R1720151","April",436
"R1720152","April",439
"R1720153","April",438
"R1720154","April",792
"R1720155","April",303
"R1720158","April",685
"R1720070","April",2276
"R1720078","April",353
"R1720124","April",1200
"R1720138","April",855
"R1720076","April",713
"R1720092","April",345
"R1720117","April",2164
"R1720090","April",2800
"R1720091","April",369
"R1720100","April",1260
"R1720107","April",8214
"R1720098","April",1490
"R1720079","April",2800
"R1720085","April",1500
"R1720111","April",3800
"R1720139","April",2000
"R1720096","April",366
"R1720141","April",300
"R1720131","April",57
"R1720137","April",250
"R1720074","April",550
"R1720101","April",267
"R1720080","April",449
"R1720102","April",370
"R1720108","April",427
"R1720123","April",339
"R1720071","April",131
"R1720118","April",1478
"R1720075","April",198
"R1720082","April",2430
"R1720122","April",816
"R1720142","April",120
"R1720095","April",2974
"R1720099","April",2034
"R1720094","April",825
"R1720120","April",3621
"R1720135","April",438
"R1720140","April",328
"R1720086","April",1514
"R1720088","April",2224
"R1720126","April",40
"R1720134","April",76
"R1720081","April",163
"R1720105","April",1084
"R1720110","April",1677
"R1720129","April",1050
"R1720077","April",478
"R1720083","April",1705
"R1720093","April",870
"R1720112","April",962
"R1720127","April",470
"R1720106","April",620
"R1720115","April",804
"R1720087","April",1663
"R1720109","April",5104
"R1720104","April",1852
"R1720121","April",70
"R1720144","May",291
"R1720143","May",404
"R1720145","May",3837
"R1720146","May",1665
"R1720156","May",162
"R1720157","May",347
"R1720147","May",246
"R1720148","May",526
"R1720149","May",1954
"R1720150","May",1233
"R1720151","May",436
"R1720152","May",439
"R1720153","May",438
"R1720154","May",792
"R1720155","May",303
"R1720158","May",685
"R1720070","May",2276
"R1720078","May",353
"R1720124","May",1200
"R1720138","May",855
"R1720076","May",713
"R1720092","May",345
"R1720117","May",2164
"R1720090","May",2800
"R1720091","May",369
"R1720100","May",1260
"R1720107","May",8214
"R1720098","May",1490
"R1720079","May",2800
"R1720085","May",1500
"R1720111","May",3800
"R1720139","May",2000
"R1720096","May",366
"R1720141","May",300
"R1720131","May",57
"R1720137","May",173
"R1720074","May",592
"R1720101","May",267
"R1720080","May",388
"R1720102","May",372
"R1720108","May",427
"R1720123","May",504
"R1720071","May",131
"R1720118","May",1153
"R1720075","May",198
"R1720082","May",2430
"R1720122","May",756
"R1720142","May",120
"R1720095","May",2974
"R1720099","May",2034
"R1720094","May",825
"R1720120","May",3621
"R1720140","May",328
"R1720086","May",1579
"R1720088","May",2224
"R1720126","May",40
"R1720134","May",76
"R1720081","May",163
"R1720105","May",1084
"R1720110","May",1677
"R1720129","May",1050
"R1720077","May",478
"R1720083","May",1705
"R1720093","May",870
"R1720112","May",962
"R1720127","May",470
"R1720106","May",620
"R1720115","May",804
"R1720087","May",1663
"R1720109","May",5104
"R1720104","May",1852
"R1720121","May",70
"R1720135","May",438
