"district_id","period","total_beneficiaries"
"R1720144","April",732
"R1720143","April",1014
"R1720145","April",10678
"R1720146","April",3780
"R1720156","April",882
"R1720157","April",684
"R1720147","April",1103
"R1720148","April",1575
"R1720149","April",3852
"R1720150","April",3841
"R1720151","April",861
"R1720152","April",1102
"R1720153","April",863
"R1720154","April",1539
"R1720155","April",1182
"R1720158","April",1860
"R1720070","April",8004
"R1720078","April",4621
"R1720124","April",3658
"R1720138","April",4658
"R1720076","April",1908
"R1720092","April",867
"R1720117","April",8114
"R1720090","April",5000
"R1720091","April",4200
"R1720100","April",2818
"R1720098","April",3132
"R1720079","April",8020
"R1720085","April",4700
"R1720107","April",14403
"R1720111","April",4200
"R1720139","April",3684
"R1720096","April",1852
"R1720141","April",1000
"R1720131","April",808
"R1720137","April",1300
"R1720074","April",3066
"R1720101","April",1752
"R1720080","April",1652
"R1720102","April",1454
"R1720108","April",2494
"R1720123","April",1287
"R1720071","April",1233
"R1720118","April",6150
"R1720075","April",1166
"R1720082","April",2496
"R1720122","April",2517
"R1720142","April",450
"R1720095","April",7226
"R1720099","April",8004
"R1720094","April",2452
"R1720120","April",5970
"R1720135","April",779
"R1720140","April",1038
"R1720086","April",3897
"R1720088","April",1818
"R1720126","April",160
"R1720134","April",400
"R1720081","April",1001
"R1720105","April",4804
"R1720110","April",8794
"R1720129","April",3850
"R1720077","April",1650
"R1720083","April",6965
"R1720093","April",1875
"R1720112","April",2407
"R1720127","April",1950
"R1720106","April",2268
"R1720115","April",2360
"R1720087","April",3060
"R1720109","April",7275
"R1720104","April",1912
"R1720121","April",320
"R1720144","May",732
"R1720143","May",1014
"R1720145","May",10678
"R1720146","May",3780
"R1720156","May",882
"R1720157","May",684
"R1720147","May",1103
"R1720148","May",1575
"R1720149","May",3852
"R1720150","May",3841
"R1720151","May",861
"R1720152","May",1102
"R1720153","May",863
"R1720154","May",1539
"R1720155","May",1182
"R1720158","May",1860
"R1720070","May",8004
"R1720078","May",4621
"R1720124","May",3658
"R1720138","May",4658
"R1720076","May",1908
"R1720092","May",867
"R1720117","May",8114
"R1720090","May",5000
"R1720091","May",4200
"R1720100","May",2818
"R1720098","May",3132
"R1720079","May",8020
"R1720085","May",4700
"R1720107","May",14403
"R1720111","May",4200
"R1720139","May",3684
"R1720096","May",1852
"R1720141","May",1000
"R1720131","May",808
"R1720137","May",951
"R1720074","May",3552
"R1720101","May",1752
"R1720080","May",1719
"R1720102","May",1528
"R1720108","May",2494
"R1720123","May",1225
"R1720071","May",1233
"R1720118","May",6429
"R1720075","May",1166
"R1720082","May",2496
"R1720122","May",2347
"R1720142","May",450
"R1720095","May",7226
"R1720099","May",8004
"R1720094","May",2452
"R1720120","May",5970
"R1720140","May",1038
"R1720086","May",4127
"R1720088","May",1818
"R1720126","May",160
"R1720134","May",400
"R1720081","May",1001
"R1720105","May",4804
"R1720110","May",8794
"R1720129","May",3850
"R1720077","May",1650
"R1720083","May",6965
"R1720093","May",1875
"R1720112","May",2407
"R1720127","May",1950
"R1720106","May",2268
"R1720115","May",2360
"R1720087","May",3060
"R1720109","May",7275
"R1720104","May",1912
"R1720121","May",320
"R1720135","May",779
